904849,MISC. IMPORTED CORDIALS & LIQUEURS,Yeni Raki Turkish Liqueur,465,Stanley Stawski Distributing Co.,750,12,1,,86,8/17/2010 0:00,,,$17.83 ,26.75,214
904850,SINGLE MALT SCOTCH,Classic Cask-Glenrothes 1990,456,Spirit Imports Inc.,750,2,1,,86,7/22/2010 0:00,,,$57.35 ,86.03,114.7
904851,SINGLE MALT SCOTCH,Bunnahabhain 8yr,127,Classic Wine Imports,750,6,1,,86,7/22/2010 0:00,,,$26.95 ,40.43,161.7
904852,FLAVORED RUM,Malibu Passion Fruit,370,Pernod Ricard Usa/austin Nichols,375,24,1,,42,8/17/2010 0:00,,,$3.89 ,5.84,93.28
904853,TEQUILA,Totem Anejo,286,Jalixco Trading Co. Llc,750,12,1,,80,7/26/2010 0:00,,,$17.83 ,26.75,214
904854,IMPORTED GRAPE BRANDIES,Hennessy Black,420,Moet Hennessy Usa Inc.,375,12,1,,86,8/19/2010 0:00,,,$13.33 ,20,160
904855,CREAM LIQUEURS,Rothman & Winter Creme De Violette,305,Mhw Ltd,750,12,1,,40,8/19/2010 0:00,,904855,$13.33 ,20,160
904856,FLAVORED RUM,Tortuga Banana Rum,330,Monsieur Henri Wines Ltd.,750,12,1,,80,4/27/2009 0:00,,1.07144E+13,$7.42 ,11.13,89
904857,SINGLE MALT SCOTCH,Dt 1972 Caperdonich 36 Yr Cask,391,Anchor Distilling (preiss Imports),750,1,1,,112,9/29/2009 0:00,8.41119E+11,,$110.00 ,165,110
904858,IMPORTED VODKA,Stawski Bizonovka Vodka,465,Stanley Stawski Distributing Co.,1000,12,1,,84,8/18/2010 0:00,,,$16.50 ,24.75,198
904859,IMPORTED VODKA,Van Gogh Acia Blueberry Vodka,421,Sazerac Co. Inc.,750,12,1,,70,5/15/2009 0:00,,,$12.67 ,19,152
904860,FLAVORED RUM,Malibu Pineapple,370,Pernod Ricard Usa/austin Nichols,375,24,1,,42,8/17/2010 0:00,,,$3.89 ,5.84,93.28
904861,TEQUILA,Totem Reposado,286,Jalixco Trading Co. Llc,750,12,1,,80,7/26/2010 0:00,,,$16.17 ,24.26,194
904862,SINGLE MALT SCOTCH,Premier Barrel Port Ellen 1982,456,Spirit Imports Inc.,750,2,1,,92,7/22/2010 0:00,,,$202.35 ,303.53,404.7
904863,SINGLE MALT SCOTCH,Highland Park 8yr Scotch,305,Mhw Ltd,750,6,1,,86,7/22/2010 0:00,,,$26.95 ,40.43,161.7
904864,SINGLE MALT SCOTCH,Port Ellen 1982 Old Malt Cask,456,Spirit Imports Inc.,750,2,1,,100,7/22/2010 0:00,,,$173.35 ,260.03,346.7
904865,SINGLE MALT SCOTCH,Dt 1979 Carsebridge Grain 30yr Cask,391,Anchor Distilling (preiss Imports),750,1,1,,109,9/29/2009 0:00,,,$89.00 ,133.5,89
904866,SINGLE MALT SCOTCH,Glenfiddich 21yr Gran Reserva HA,240,William Grant And Sons Inc.,750,3,1,,80,8/23/2010 0:00,83664869237,1.00837E+13,$93.33 ,139.99,279.98
904867,IMPORTED VODKA,Stawski Jazz Premium Vodka,465,Stanley Stawski Distributing Co.,750,12,1,,80,8/18/2010 0:00,,,$13.83 ,20.75,166
904868,TEQUILA,Sauza Tres Gen Minis (dno),65,Jim Beam Brands,603,10,1,,80,8/19/2010 0:00,,,$17.12 ,25.68,171.2
904869,FLAVORED RUM,Don Q Mojito Rum,451,Serralles Usa,750,12,1,,40,8/25/2010 0:00,,,$6.41 ,9.62,76.94
904870,SINGLE MALT SCOTCH,Dt 1979 Cameronbridge 30yr Cask,391,Anchor Distilling (preiss Imports),750,1,1,,99,9/29/2009 0:00,8.41119E+11,,$77.00 ,115.5,77
904871,SINGLE MALT SCOTCH,Loch Chaim Isle Of Arran 1996,456,Spirit Imports Inc.,750,2,1,,86,7/22/2010 0:00,,,$48.35 ,72.53,96.7
904872,FLAVORED RUM,Bacardi Big Apple Rum,35,Bacardi U.s.a. Inc.,1000,12,1,,70,5/1/2009 0:00,80480401023,1.00805E+13,$10.50 ,15.75,125.92
904873,SINGLE MALT SCOTCH,Old Pulteney 1974 34yr Scotch,127,Classic Wine Imports,750,1,1,,86,7/22/2010 0:00,,,$139.87 ,209.81,139.87
904874,SINGLE MALT SCOTCH,Old Pulteney 15yr,127,Classic Wine Imports,750,6,1,,86,7/22/2010 0:00,,,$48.37 ,72.55,290.2
904875,SINGLE MALT SCOTCH,Mcgibbon's Provenance Port Ellen 1982,456,Spirit Imports Inc.,750,2,1,,92,7/22/2010 0:00,,,$126.18 ,189.27,252.36
